"","id","valid_id","parent_id","rank_name","tname","tauthor","worms_id","records","datasets","phylum","order","family","genus","class","species","redlist","status","gisd","ecoregion"
"2483",851491,851491,747758,"Species","Harttia surinamensis",NA,NA,2,1,"Chordata","Siluriformes","Loricariidae","Harttia","Actinopterygii","Harttia surinamensis",NA,NA,NA,"Guianan"
"2484",851493,851493,747921,"Species","Hemigrammus unilineatus",NA,NA,32,3,"Chordata","Characiformes","Characidae","Hemigrammus","Actinopterygii","Hemigrammus unilineatus",NA,NA,NA,"Guianan"
"2485",851497,851497,754980,"Species","Parodon guyanensis",NA,NA,9,1,"Chordata","Characiformes","Parodontidae","Parodon","Actinopterygii","Parodon guyanensis",NA,NA,NA,"Guianan"
"2486",851507,851507,852908,"Species","Psectrogaster essequibensis",NA,NA,23,2,"Chordata","Characiformes","Curimatidae","Psectrogaster","Actinopterygii","Psectrogaster essequibensis",NA,NA,NA,"Guianan"
"2487",851514,851514,854878,"Species","Guianacara cuyunii",NA,NA,2,2,"Chordata","Perciformes","Cichlidae","Guianacara","Actinopterygii","Guianacara cuyunii",NA,NA,NA,"Guianan"
"2488",851560,851560,771219,"Genus","Curimatella","Eigenmann & Eigenmann, 1889",268910,13,1,"Chordata","Characiformes","Curimatidae","Curimatella","Actinopteri",NA,NA,NA,NA,"Guianan"
"2489",851573,851573,751691,"Species","Metynnis argenteus",NA,NA,10,2,"Chordata","Characiformes","Characidae","Metynnis","Actinopterygii","Metynnis argenteus",NA,NA,NA,"Guianan"
"2490",851582,851582,747901,"Species","Hemibrycon taeniurus",NA,NA,5,2,"Chordata","Characiformes","Characidae","Hemibrycon","Actinopterygii","Hemibrycon taeniurus",NA,NA,NA,"Guianan"
"2491",851584,851584,843634,"Species","Rhabdolichops eastwardi",NA,NA,4,2,"Chordata","Gymnotiformes","Sternopygidae","Rhabdolichops","Actinopterygii","Rhabdolichops eastwardi",NA,NA,NA,"Guianan"
"2492",851586,851586,757665,"Species","Pyrrhulina filamentosa",NA,NA,51,3,"Chordata","Characiformes","Lebiasinidae","Pyrrhulina","Actinopterygii","Pyrrhulina filamentosa",NA,NA,NA,"Guianan"
"2493",851587,851587,747300,"Species","Gymnocorymbus bondi",NA,NA,3,2,"Chordata","Characiformes","Characidae","Gymnocorymbus","Actinopterygii","Gymnocorymbus bondi",NA,NA,NA,"Guianan"
"2494",851593,851593,752419,"Species","Myleus rubripinnis",NA,NA,24,3,"Chordata","Characiformes","Characidae","Myleus","Actinopterygii","Myleus rubripinnis",NA,NA,NA,"Guianan"
"2495",851611,851611,751691,"Species","Metynnis luna",NA,NA,12,2,"Chordata","Characiformes","Characidae","Metynnis","Actinopterygii","Metynnis luna",NA,NA,NA,"Guianan"
"2496",851612,851612,851188,"Species","Semaprochilodus insignis",NA,NA,2,2,"Chordata","Characiformes","Prochilodontidae","Semaprochilodus","Actinopterygii","Semaprochilodus insignis",NA,NA,NA,"Guianan"
"2497",851634,851634,427200,"Species","Corydoras bondi",NA,NA,20,2,"Chordata","Siluriformes","Callichthyidae","Corydoras","Actinopterygii","Corydoras bondi",NA,NA,NA,"Guianan"
"2498",851638,851638,750290,"Species","Loricaria parnahybae",NA,NA,1,1,"Chordata","Siluriformes","Loricariidae","Loricaria","Actinopterygii","Loricaria parnahybae",NA,NA,NA,"Guianan"
"2499",851641,851641,853008,"Species","Jupiaba mucronata",NA,NA,17,2,"Chordata","Characiformes","Characidae","Jupiaba","Actinopterygii","Jupiaba mucronata",NA,NA,NA,"Guianan"
"2500",851659,851659,747337,"Species","Gymnotus anguillaris",NA,NA,21,3,"Chordata","Gymnotiformes","Gymnotidae","Gymnotus","Actinopterygii","Gymnotus anguillaris",NA,NA,NA,"Guianan"
"2501",851662,851662,750291,"Species","Loricariichthys microdon",NA,NA,30,2,"Chordata","Siluriformes","Loricariidae","Loricariichthys","Actinopterygii","Loricariichthys microdon",NA,NA,NA,"Guianan"
"2502",851672,851672,753589,"Species","Odontostilbe gracilis",NA,NA,19,1,"Chordata","Characiformes","Characidae","Odontostilbe","Actinopterygii","Odontostilbe gracilis",NA,NA,NA,"Guianan"
"2503",851695,851695,851808,"Species","Krobia guianensis",NA,NA,18,2,"Chordata","Perciformes","Cichlidae","Krobia","Actinopterygii","Krobia guianensis",NA,NA,NA,"Guianan"
"2504",851704,851704,855366,"Species","Myoglanis potaroensis",NA,NA,12,2,"Chordata","Siluriformes","Heptapteridae","Myoglanis","Actinopterygii","Myoglanis potaroensis",TRUE,"LC",NA,"Guianan"
"2505",851710,851710,776317,"Species","Cichla melaniae",NA,NA,5,1,"Chordata","Perciformes","Cichlidae","Cichla","Actinopterygii","Cichla melaniae",NA,NA,NA,"Guianan"
"2506",851724,851724,758157,"Species","Rineloricaria fallax",NA,NA,36,2,"Chordata","Siluriformes","Loricariidae","Rineloricaria","Actinopterygii","Rineloricaria fallax",NA,NA,NA,"Guianan"
"2507",851743,851743,750147,"Species","Lithoxus planquettei",NA,NA,4,1,"Chordata","Siluriformes","Loricariidae","Lithoxus","Actinopterygii","Lithoxus planquettei",NA,NA,NA,"Guianan"
